Date,Song Title,Artist,Album,Duration
2025-02-24,Bukan Lagi Kita,Nadeera,Nadeera,3:32
2025-02-24,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-24,Garam & Madu (Sakit Dadaku),Tenxi,Tenxi,3:04
2025-02-24,跳楼机,LBI利比(時柏塵),LBI利比(時柏塵),3:21
2025-02-24,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-24,APT.,ROSÉ,ROSÉ,2:49
2025-02-24,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-24,ExtraL,JENNIE,JENNIE,2:47
2025-02-24,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-24,Anugerah Terindah,Andmesh,Andmesh,4:42
2025-02-24,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-24,Menjaga Jodoh Orang Lain,Ara Johari,Ara Johari,4:32
2025-02-24,Bunga Maaf,The Lantis,The Lantis,4:12
2025-02-24,Hening Rindu,Marsha Milan,Marsha Milan,3:56
2025-02-24,Hijab Rindu,Black Hanifah,Black Hanifah,4:17
2025-02-24,blue,yung kai,yung kai,3:34
2025-02-24,Masa (feat. Fahimi),NAKI,NAKI,2:49
2025-02-24,Rahsia Tuhan,Noh Salleh,Noh Salleh,4:47
2025-02-24,Love Hangover,JENNIE,JENNIE,3:00
2025-02-24,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-24,earthquake,JISOO,JISOO,3:10
2025-02-24,Born Again (feat. Doja Cat & RAYE),LISA,LISA,3:51
2025-02-24,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-24,number one girl,ROSÉ,ROSÉ,3:36
2025-02-24,toxic till the end,ROSÉ,ROSÉ,2:36
